JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458829.82906,14.178,0.028,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.252,Z,18.518,18.155,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458829.82980,14.133,0.029,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.256,Z,18.555,18.153,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458829.83048,12.598,0.026,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.259,Z,19.565,19.221,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458829.83105,12.581,0.027,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.262,Z,19.588,19.199,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458830.82618,14.275,0.028,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.251,Z,18.574,18.216,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458830.82691,14.206,0.027,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.255,Z,18.574,18.205,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458830.82759,12.603,0.028,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.258,Z,19.647,19.235,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458830.82815,12.622,0.028,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.261,Z,19.643,19.261,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458831.62534,14.063,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.137,Z,18.595,18.220,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458831.63030,14.078,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.121,Z,18.609,18.236,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458831.63524,14.100,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.107,Z,18.645,18.267,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458831.64020,14.086,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.094,Z,18.588,18.213,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458831.64516,14.092,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.082,Z,18.579,18.209,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458831.65012,14.062,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.071,Z,18.583,18.197,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458831.65506,14.070,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.061,Z,18.578,18.194,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458831.66002,14.077,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.052,Z,18.573,18.190,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458831.66499,14.090,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.044,Z,18.559,18.186,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
