HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458817.82200,2019-11-30.3189394,bi,1.42,16.827,14.418,0.024,6.204,0.135,g
2458817.82322,2019-11-30.3201611,bi,1.39,16.812,14.442,0.025,6.069,0.137,g
2458817.82444,2019-11-30.3213795,bi,1.43,16.838,14.434,0.024,6.111,0.134,g
2458819.60800,2019-12-02.1049055,bE,1.48,16.810,14.409,0.024,6.260,0.138,g
2458819.60927,2019-12-02.1061738,bE,1.49,16.876,14.436,0.023,6.103,0.130,g
2458819.61053,2019-12-02.1074373,bE,1.47,16.755,14.433,0.026,6.120,0.145,g
2458819.79691,2019-12-02.2938111,bE,1.50,16.903,14.442,0.023,6.068,0.127,g
2458819.79818,2019-12-02.2950775,bE,1.48,16.911,14.423,0.022,6.181,0.126,g
2458819.79959,2019-12-02.2964866,bE,1.49,16.829,14.396,0.023,6.336,0.136,g
2458820.61217,2019-12-03.1090603,bE,1.48,16.765,14.478,0.027,5.873,0.144,g
2458820.61345,2019-12-03.1103385,bE,1.43,16.759,14.451,0.026,6.023,0.144,g
2458820.61472,2019-12-03.1116094,bE,1.51,16.852,14.496,0.025,5.779,0.132,g
2458820.81671,2019-12-03.3135935,bi,1.45,16.847,14.441,0.024,6.073,0.133,g
2458820.81915,2019-12-03.3160280,bi,1.40,16.831,14.452,0.024,6.013,0.135,g
2458821.65012,2019-12-04.1469774,bE,1.58,14.572,14.142,0.149,8.002,1.090,g
2458821.65139,2019-12-04.1482506,bE,1.62,15.096,14.414,0.117,6.226,0.666,g
2458821.65266,2019-12-04.1495219,bE,1.64,14.513,>14.513,99.990,5.575,1.141,g
2458821.81347,2019-12-04.3103254,bi,1.40,16.350,14.465,0.038,5.947,0.211,g
2458821.81469,2019-12-04.3115549,bi,1.43,16.487,14.464,0.034,5.951,0.186,g
2458821.81591,2019-12-04.3127730,bi,1.45,16.557,14.428,0.031,6.149,0.174,g
2458822.61368,2019-12-05.1105280,bE,1.55,16.727,14.479,0.028,5.866,0.149,g
2458822.61495,2019-12-05.1118,bE,1.53,16.670,14.480,0.029,5.866,0.157,g
