HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458730.59219,2019-09-04.0932917,bm,1.48,16.738,14.229,0.022,7.387,0.148,g
2458730.59340,2019-09-04.0945018,bm,1.51,16.724,14.203,0.021,7.564,0.149,g
2458730.59460,2019-09-04.0957070,bm,1.52,16.760,14.234,0.021,7.349,0.144,g
2458730.88150,2019-09-04.3825885,bi,1.43,16.747,14.211,0.021,7.507,0.146,g
2458730.88271,2019-09-04.3838,bi,1.39,16.741,14.195,0.021,7.627,0.147,g
2458730.88393,2019-09-04.3850122,bi,1.43,16.739,14.231,0.022,7.373,0.147,g
2458733.58648,2019-09-07.0874123,bm,1.54,16.713,14.196,0.021,7.616,0.151,g
2458733.58768,2019-09-07.0886204,bm,1.52,16.770,14.211,0.021,7.508,0.143,g
2458733.58892,2019-09-07.0898601,bm,1.54,16.741,14.223,0.021,7.429,0.147,g
2458733.88575,2019-09-07.3866737,bi,1.53,16.032,14.273,0.043,7.097,0.281,g
2458733.88697,2019-09-07.3878923,bi,1.54,15.959,14.131,0.041,8.084,0.301,g
2458733.88818,2019-09-07.3891082,bi,1.48,15.889,14.218,0.047,7.464,0.321,g
2458734.86839,2019-09-08.3692638,bi,1.40,16.708,14.224,0.022,7.420,0.151,g
2458734.86962,2019-09-08.3704835,bi,1.43,16.757,14.222,0.021,7.438,0.145,g
2458734.87083,2019-09-08.3716995,bi,1.41,16.753,14.200,0.021,7.587,0.145,g
2458738.85211,2019-09-12.3527491,bE,1.52,16.458,14.170,0.027,7.796,0.191,g
2458738.85338,2019-09-12.3540282,bE,1.48,16.461,14.149,0.026,7.953,0.190,g
2458738.85465,2019-09-12.3552953,bE,1.47,16.578,14.224,0.025,7.417,0.171,g
2458739.84331,2019-09-13.3439050,bi,1.40,16.228,14.138,0.032,8.029,0.235,g
2458739.84453,2019-09-13.3451223,bi,1.42,16.182,14.167,0.034,7.822,0.245,g
2458739.84575,2019-09-13.3463394,bi,1.42,16.174,14.221,0.036,7.441,0.247,g
2458740.81481,2019-09-14.3153391,bE,1.67,16.023,14.223,0.042,7.421,0.284,g
2458740.81607,2019-09-14.3166025,bE,1.69,16.078,14.323,0.043,6.775,0.270,g
2458740.81734,2019-09-14.3178752,bE,1.71,16.202,14.188,0.034,7.669,0.241,g
2458741.80166,2019-09-15.3021432,bi,1.49,16.163,14.219,0.037,7.451,0.250,g
2458741.80288,2019-09-15.3033603,bi,1.40,15.947,14.165,0.042,7.837,0.304,g
2458741.80409,2019-09-15.3045798,bi,1.52,16.022,14.182,0.040,7.713,0.284,g
2458745.53515,2019-09-19.0354179,bm,1.54,14.779,13.989,0.106,9.208,0.892,g
2458750.99669,2019-09-24.4966383,bq,1.56,15.605,14.044,0.052,8.757,0.417,g
2458750.99790,2019-09-24.4978509,bq,1.63,15.428,14.115,0.065,8.199,0.491,g
2458752.63043,2019-09-26.1302885,bm,1.54,16.754,14.219,0.021,7.451,0.145,g
