HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456590.00586,2013-10-24.5041408,ba,2.13,99.990,99.990,99.990,99.990,99.990,V
2456590.00725,2013-10-24.5055217,ba,2.13,15.940,13.702,0.029,12.687,0.337,V
2456600.98902,2013-11-04.4867956,ba,2.21,16.432,13.748,0.019,12.147,0.214,V
2456600.99040,2013-11-04.4881665,ba,2.23,16.391,13.645,0.018,13.364,0.222,V
2456603.98523,2013-11-07.4828857,ba,2.33,14.747,13.913,0.106,10.440,1.003,V
2456603.98661,2013-11-07.4842576,ba,2.34,15.493,13.626,0.041,13.605,0.508,V
2456615.91390,2013-11-19.4111166,ba,2.45,15.415,13.922,0.057,10.355,0.531,V
2456616.91400,2013-11-20.4111902,ba,2.47,15.465,13.540,0.038,14.718,0.517,V
2456616.91538,2013-11-20.4125663,ba,2.46,15.404,13.672,0.045,13.040,0.540,V
2456618.89508,2013-11-22.3922070,ba,2.19,15.738,13.651,0.033,13.280,0.400,V
2456618.89645,2013-11-22.3935753,ba,2.17,15.856,13.715,0.032,12.528,0.358,V
2456621.88727,2013-11-25.3843196,ba,1.64,16.457,13.676,0.018,12.990,0.211,V
2456621.88865,2013-11-25.3856946,ba,1.69,16.471,13.704,0.018,12.654,0.210,V
2456630.93218,2013-12-04.4290313,ba,2.38,16.404,13.645,0.017,13.362,0.213,V
2456630.93357,2013-12-04.4304172,ba,2.34,16.431,13.655,0.017,13.243,0.210,V
2456631.92600,2013-12-05.4228293,ba,2.36,16.387,13.688,0.018,12.853,0.219,V
2456631.92737,2013-12-05.4242064,ba,2.35,16.389,13.652,0.018,13.287,0.218,V
2456675.80231,2014-01-18.2993892,ba,1.65,16.046,13.584,0.023,14.130,0.296,V
2456675.80365,2014-01-18.3007354,ba,1.69,15.942,13.551,0.024,14.571,0.324,V
2456677.88071,2014-01-20.3778578,ba,2.08,16.106,13.664,0.023,13.136,0.279,V
