JD,HJD,UT_date,FWHM,Diff,Limit,mag,mag_err,Filter
2458020.899,2458020.899,2017-09-24.3987082,1.54,-1.45,17.053,14.217,0.016,g
2458021.895,2458021.896,2017-09-25.3954324,1.4,-1.45,17.025,14.19,0.016,g
2458029.829,2458029.83,2017-10-03.3294444,1.93,-1.45,17.081,14.206,0.015,g
2458030.891,2458030.891,2017-10-04.3907731,1.51,-1.45,16.285,14.164,0.031,g
2458032.849,2458032.85,2017-10-06.3492170,1.74,-1.45,16.913,14.209,0.018,g
2458033.874,2458033.875,2017-10-07.3737971,1.63,-1.45,16.99,14.202,0.017,g
2458041.885,2458041.886,2017-10-15.3850937,1.8,-1.45,16.732,14.159,0.02,g
2458043.883,2458043.884,2017-10-17.3825543,1.59,-1.45,16.865,14.201,0.019,g
2458044.879,2458044.881,2017-10-18.3794425,1.63,-1.45,16.993,14.186,0.016,g
2458045.876,2458045.878,2017-10-19.3762194,1.48,-1.45,16.981,14.21,0.017,g
2458046.877,2458046.878,2017-10-20.3767890,1.56,-1.45,17.043,14.233,0.016,g
2458047.874,2458047.875,2017-10-21.3736942,1.65,-1.45,17.073,14.2,0.015,g
2458048.871,2458048.872,2017-10-22.3705910,1.56,-1.45,17.033,14.22,0.016,g
2458052.873,2458052.875,2017-10-26.3729340,1.69,-1.45,17.001,14.202,0.017,g
2458053.87,2458053.872,2017-10-27.3698598,1.71,-1.45,17.069,14.222,0.016,g
2458054.87,2458054.872,2017-10-28.3704675,1.8,-1.45,16.589,14.244,0.025,g
2458068.825,2458068.827,2017-11-11.3248246,1.56,-1.45,17.104,14.212,0.015,g
2458070.854,2458070.857,2017-11-13.3539388,1.87,-1.45,17.052,14.198,0.016,g
2458071.847,2458071.85,2017-11-14.3472740,1.52,-1.45,17.099,14.215,0.015,g
2458074.842,2458074.845,2017-11-17.3419663,1.53,-1.45,17.095,14.213,0.015,g
2458076.841,2458076.844,2017-11-19.3413678,1.51,-1.45,17.09,14.22,0.015,g
2458079.843,2458079.846,2017-11-22.3434195,1.66,-1.45,17.085,14.202,0.015,g
2458080.84,2458080.843,2017-11-23.3404001,1.53,-1.45,17.099,14.212,0.015,g
2458081.837,2458081.84,2017-11-24.3373885,1.81,-1.45,17.109,14.215,0.015,g
2458082.834,2458082.837,2017-11-25.3343792,1.71,-1.45,17.106,14.205,0.015,g
2458083.828,2458083.831,2017-11-26.3277206,1.56,-1.45,17.099,14.234,0.016,g
2458084.825,2458084.828,2017-11-27.3247349,1.44,-1.45,17.107,14.207,0.015,g
2458085.822,2458085.825,2017-11-28.3216726,1.42,-1.45,17.092,14.225,0.016,g
2458087.591,2458087.595,2017-11-30.0914533,1.51,-1.6,16.985,14.208,0.017,g
2458089.351,2458089.354,2017-12-01.8507898,2.29,-1.6,16.09,14.179,0.037,g
2458090.344,2458090.347,2017-12-02.8438504,1.73,-1.6,16.818,14.203,0.02,g
2458092.402,2458092.405,2017-12-04.9019570,2.06,-1.6,16.804,14.18,0.019,g
2458092.577,2458092.58,2017-12-05.0765614,1.51,-1.45,16.969,14.176,0.017,g
2458096.525,2458096.528,2017-12-09.0250106,1.93,-1.6,17.018,14.226,0.017,g
2458100.565,2458100.568,2017-12-13.0651092,1.5,-1.6,16.978,14.199,0.017,g
