# J0600 g' band light curve approximated by straight lines - eyeball fit by M Kenworthy 2019 01 06
MJD g
58777.0 14.20
58805.4 14.33
58807.3 14.315
58810.1 14.365
58812.2 14.365
58813.4 14.350
58815.0 14.425
58817.3 14.410
58820.0 14.45
58821.3 14.40
58822.4 14.450
58824.2 14.55
58828.0 14.975
58829.0 14.700
58830.1 14.825
58832.3 14.56
58835.3 14.56
58835.9 14.65
58837.4 14.57
58841.0 14.57
58843.8 14.40
58846.1 14.45
58846.7 14.50
58847.2 14.45
58848.0 14.47
58849.0 14.73
58850.0 14.55
58851.3 14.69
58854.0 14.56
